source,target,similarity
1807,46,0.708
1807,1067,0.6426
1812,4032,0.6807
1816,875,0.631
1819,264,0.617
1843,9379,0.658
1845,1880,0.621
1864,1237,0.6064
1864,1867,0.6055
1870,1580,0.6396
1874,1737,0.866
1875,31,0.753
1876,5151,0.821
1876,723,0.7837
1876,4032,0.778
1876,2467,0.7695
1877,465,0.8013
1880,1845,0.621
1891,31,0.7646
1894,808,0.671
1901,6135,0.841
1917,1231,0.8457
1917,9644,0.7607
1917,1180,0.745
1919,11,0.694
1921,10699,0.682
1921,1846,0.6
1927,114,0.6055
1968,700,0.64
1970,8362,0.6387
1978,10,0.6104
1979,1426,0.617
1982,2112,0.731
1996,852,0.63
2006,197,0.832
2008,2006,0.785
2011,2723,0.654
2017,539,0.842
2034,930,0.6367
2040,4204,0.6963
2040,8558,0.6895
2048,1794,0.741
2051,11523,0.6626
2054,4204,0.7354
2062,7893,0.672
2117,7775,0.663
2130,8283,0.6475
2199,6437,0.654
2199,723,0.6353
2242,11237,0.753
2302,1887,0.734
2310,31,0.7085
2326,7349,0.6045
2357,4011,0.621
2454,8991,0.6924
2460,438,0.6895
2462,4650,0.916
2462,7355,0.64
2467,4032,0.8945
2467,83,0.833
2467,378,0.8193
2468,7888,0.628
2475,4732,0.631
2490,7349,0.6714
2490,5208,0.6353
2490,2571,0.607
2492,8821,0.6235
2492,5651,0.6045
2547,1761,0.6016
2553,11363,0.767
2555,3223,0.6943
2555,434,0.6143
2565,6514,0.707
2571,2490,0.607
2571,10278,0.6045
2618,31,0.6143
2675,1887,0.6865
2685,9097,0.6743
2718,11258,0.6865
2749,9107,0.719
2793,10231,0.6035
2827,10860,0.9595
2827,1726,0.6094
2862,5760,0.608
2865,6136,0.6147
2887,11211,0.853
2896,8003,0.63
2942,5546,0.608
2950,557,0.6567
2961,10946,0.63
2964,3040,0.611
2968,7040,0.637
2970,10092,0.6235
2970,5970,0.601
2991,1304,0.8555
3007,5434,0.8867
3008,7275,0.624
3040,2964,0.611
3041,4720,0.6167
3068,1887,0.732
3074,771,0.607
3141,320,0.621
3152,9583,0.611
3169,101,0.6934
3180,1432,0.822
3216,7539,0.86
3223,2555,0.6943
3229,116,0.7163
3238,457,0.682
3267,473,0.6562
3277,4871,0.6055
3294,1024,0.718
3295,8133,0.6924
3295,7363,0.6743
3310,6688,0.6255
3314,2411,0.6406
3326,8143,0.6733
3390,8480,0.617
3464,878,0.608
3470,7049,0.7036
3491,473,0.613
3517,31,0.6577
3540,4224,0.615
3540,1887,0.6123
3550,9881,0.6235
3567,10602,0.6533
3584,11675,0.7524
3626,8283,0.6084
3706,11426,0.651
3729,1053,0.7163
3739,366,0.6675
3753,5080,0.7065
3775,6062,0.622
3840,1579,0.6143
3851,5011,0.667
3852,8840,0.7847
3858,1665,0.6436
3938,7750,0.6904
3959,9196,0.908
3959,9644,0.701
3967,4032,0.6562
3967,10589,0.6523
4010,4225,0.69
4010,967,0.672
4011,826,0.7236
4031,11136,0.6035
4032,2467,0.8945
4033,7844,0.628
4115,7170,0.689
4166,826,0.607
4175,554,0.61
4204,10604,0.877
4210,5665,0.694
4210,707,0.6465
4224,3540,0.615
4225,4010,0.69
4225,967,0.6665
4276,6871,0.7266
4276,7750,0.7007
4311,5659,0.637
4375,11016,0.699
4385,1053,0.787
